index,method,velocity,acceleration,jerk
44,Original,30.354165593441436,612.5658441979396,23378.469506614274
45,Original,31.042568280379538,51.98016139516335,59139.478277964336
46,Original,30.54102525788944,573.623806644439,16645.443299929182
47,Original,31.104758697996814,361.5512073660246,19369.858858359723
48,Original,31.02815323756254,198.02128708459057,9671.064136572524
49,Original,31.071018529105533,178.40948012592708,1448.7313888332387
50,Original,31.046672015126646,198.82977707505594,2672.081051113256
51,Original,31.001951588662063,225.00288251082236,19199.29544831672
52,Original,31.104758697996875,196.44690766145789,51459.43970520674
53,Original,29.652481403219312,814.0498032322057,16713.09425319104
54,Original,29.76033089907094,527.4303861960876,42236.32155534053
55,Original,27.187946753472005,134.5363328114491,17415.414241502553
56,Original,27.185674452123745,303.8375140026588,19364.373286892464
57,Original,31.104692085924764,302.9456341797715,15076.361170039034
58,Original,31.101300859805583,46.15643524203268,15076.359432930138
59,Original,31.104758697996775,45.7891730934372,142.860574622932
60,Original,31.100545445702135,48.5939033732822,108.75147221323446
61,Original,31.103841259714535,47.505191228779054,126.01835912008202
62,Original,31.101037841443286,46.53107689090492,86.98453689905763
63,Original,31.103083340045586,46.515891888542704,69.50904884002432
64,Original,31.10132351336825,46.56181143928775,69.42818208602236
65,Original,31.10239121640982,46.58562093191461,69.4038790256515
66,Original,31.101743316735323,46.579325247521496,69.41350544799145
67,Original,31.10183212740027,46.51961442095091,69.50982428393394
68,Original,31.102300116635867,46.461184849199945,70.38501450090548
69,Original,31.10140379740282,46.20205158054458,79.06627767148095
70,Original,31.10306598501803,45.638578268370075,76.1919042689033
71,Original,31.101242457392054,45.50606895647196,80.51152397642004
72,Original,31.103748146199614,46.46869707532113,107.77051853221641
73,Original,31.10075678705734,47.171410104625366,76.60485066328168
74,Original,31.104702227470856,47.12054867761193,164.95645304006746
75,Original,31.10069956577978,50.07523413043783,72.2026799613734
76,Original,31.104758697996825,46.802859174535506,183.446153503884
77,Original,31.10083308682072,46.75267866364244,70.44544678260864
78,Original,31.10384639356621,46.659612820292324,13294.748810686884
79,Original,31.101020738760603,308.66439015711666,42643.04888973946
80,Original,29.439645626135025,895.2874855695835,31755.642650015605
81,Original,29.17218403647888,942.9961162578975,27967.872540009063
82,Original,31.104758697996715,335.98206041397674,47149.805812894694
83,Original,31.104758697996715,8.881784197001252e-12,16799.103020698665
84,Original,31.104758697996893,8.881784197001252e-12,8.881784197001252e-10
85,Original,31.104758697996893,8.881784197001252e-12,8.881784197001252e-10
86,Original,31.104758697996715,8.881784197001252e-12,4.440892098500626e-10
87,Original,31.104758697996715,0.0,8.881784197001252e-10
88,Original,31.104758697996715,8.881784197001252e-12,4.440892098500626e-10
89,Original,31.104758697996893,8.881784197001252e-12,8.881784197001252e-10
90,Original,31.104758697996893,8.881784197001252e-12,8.881784197001252e-10
91,Original,31.104758697996715,8.881784197001252e-12,8.881784197001252e-10
92,Original,31.104758697996715,8.881784197001252e-12,8.881784197001252e-10
